TreatmentID;PeriodType;PeriodNo;Id;Name;Group;Role;Profit;ProfitTotal;Payment;PaymentTotal;cost_A_a;cost_B_a;cost_A_B_a;h3;risk_p;h1;h2
6;payment;1;6;;0;;0;0;0;858;30;20;30;when the chances are equal in a, I invest a, otherwise, invest b;A;strategy;Max_profit
6;payment;1;33;;1;;0;0;0;798;100;200;220;;A;intuition;Max_profit
6;payment;1;57;;1;;0;0;0;798;180;200;220;I started with Urn A and if I was earing money, I continued picking A. If I was loosing money in A, that ment that the probability of loosing was inceasing, so I moved to und B and chose it consistently until the end.;A;strategy;Max_profit
6;payment;1;39;;1;;0;0;0;984;180;190;210;I draw from the urn A as long as I believed the odds were in my favor - if there was 4 more black (bad balls) in the urn A then red ones, I would go and play urn B until the end;A;strategy;Max_profit
6;payment;1;22;;1;;0;0;0;1044;240;240;240;The urn A had 12 balls that was going to give 30k so it's safer as the deduction was about 1/5 6k;B;strategy;Max_profit
6;payment;1;52;;1;;0;0;0;1125;200;200;230;I was choosing urn A for most of the times. I had possibility of doubling red balls everytime the result was red, which means the probability for red ball was increasing. Only during last round, when I had few black balls in a row, I switched to urn B;A;strategy;Max_profit
6;payment;1;26;;1;;0;0;0;894;130;150;140;At the beginning of the game I wanted to take a couple balls from the red urn because at the beginning the probability of getting the profit was 50%. If after 3 or 4 turnes the probability turned in favour ( for example  57/60 %) I will continue to draw the balls from this urn until the probability drops below 50. As soon as the probability of drawing the winning ball from this urn was more than two draws below 50% I abondon this urn completely and only choose balls from the other urn;A;strategy;Min_risk
6;payment;1;48;;1;;0;0;0;837;200;400;375;I tend to choose Urn B since it gives the lower risk;A;intuition;Min_risk
6;payment;1;58;;1;;0;0;0;1182;200;200;250;I started from drawing one ball from urn A. If in 1. rund I drew red ball and I earned 30K, then in next rund I also drew a ball from urn A, as long as number of red balls in urn one was bigger than number of black balls. If number of balck balls was bigger then red balls in urn A, I switched to urn B to minimize the risk;A;strategy;Max_profit
6;payment;1;45;;1;;0;0;0;849;150;130;80;In my case, I discovered that going for only one strategy for each period is more beneficial than switching strategies at each period;A;intuition;N
6;payment;1;25;;0;;0;0;0;1065;207;240;240;I had different strategies, three of them were to minimize the risk and the other was full of risk but also maximized the profit;A;strategy;Min_risk
6;payment;1;2;;0;;0;0;0;1158;5;3;6;;A;strategy;Max_profit
6;payment;1;60;;0;;0;0;0;1101;20;25;40;try to go maximum in the game;A;intuition;Max_profit
6;payment;1;12;;1;;0;0;0;1032;1.2;0.6;18;First i was playing it safe, but then i was risking;A;intuition;Max_profit
6;payment;1;21;;1;;0;0;0;1065;40;30;50;If in the first 5 rounds you get more times +30 then -6 then go with urn A, otherwise change to B;A;strategy;Max_profit
6;payment;1;72;;0;;0;0;0;960;12;12;20;;A;intuition;N
6;payment;1;30;;1;;0;0;0;1545;240;240;240;I focused on probability, adjusting my strategy to balance risk and reward.;A;strategy;Max_profit
6;payment;1;19;;1;;0;0;0;1023;250;220;350;;A;intuition;Max_profit
6;payment;1;9;;1;;0;0;0;1305;4;4;7;if the urn A was returning red balls, I wanted to continue choosing A. But after few -6k, I was switching to urn B in order to not loose too much money;A;intuition;Max_profit
6;payment;1;5;;0;;0;0;0;843;14;13;19;The dynamic switching strategy;A;strategy;Max_profit
